Sample Rate = 140.98684210526315
time,type,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,GravX,GravY,GravZ,GyroX,GyroY,GyroZ,QuatW,QuatX,QuatY,QuatZ,LiAccX,LiAccY,LiAccZ,GyroCal,AccelCal,MagCal
0:00:00.188055,s,30,28,27,27,26,25,26,26,-1.14,-0.08,-9.73,0.00,0.00,0.00,0.05,-0.46,0.02,0.02,0.05,0.07,0.15,3.00,3.00,3.00

0:00:00.191055,t,470,472,344,91,294,252,369,481,9.73,-1.12,0.23,0.25,0.00,0.13,0.45,0.49,0.56,0.56,0.05,-0.03,-0.04,0.00,1.00,3.00

0:00:00.194056,s,30,28,28,27,26,26,26,26,-1.14,-0.08,-9.73,0.00,0.00,0.00,0.05,-0.46,0.02,0.02,0.09,-0.04,0.16,3.00,3.00,3.00

0:00:00.197056,t,470,474,345,90,295,252,370,481,9.73,-1.12,0.23,0.56,0.00,0.00,0.45,0.49,0.56,0.56,0.06,-0.03,-0.04,0.00,1.00,3.00

0:00:00.199057,s,30,28,27,26,26,25,26,26,-1.14,-0.08,-9.73,0.06,0.00,0.00,0.05,-0.46,0.02,0.02,0.17,0.01,0.16,3.00,3.00,3.00

0:00:00.202058,t,472,475,345,92,296,254,371,484,9.73,-1.12,0.23,0.06,0.00,0.00,0.45,0.49,0.56,0.56,0.06,-0.02,-0.02,0.00,1.00,3.00

0:00:00.205058,s,30,28,27,26,26,26,27,26,-1.14,-0.08,-9.73,0.00,-0.06,0.00,0.05,-0.46,0.02,0.02,0.09,-0.01,0.20,3.00,3.00,3.00

0:00:00.208059,t,471,472,345,92,296,253,370,482,9.73,-1.12,0.23,-0.62,0.06,0.25,0.45,0.49,0.56,0.56,0.00,-0.01,-0.05,0.00,1.00,3.00

0:00:00.210059,s,30,28,28,27,26,26,25,26,-1.14,-0.08,-9.73,0.00,-0.19,0.00,0.05,-0.46,0.02,0.02,0.01,-0.06,0.17,3.00,3.00,3.00

0:00:00.213060,t,470,470,345,90,296,252,370,479,9.73,-1.12,0.23,-0.37,0.00,0.13,0.45,0.49,0.56,0.56,0.06,-0.07,-0.05,0.00,1.00,3.00

0:00:00.216061,s,30,28,27,26,26,25,24,25,-1.14,-0.08,-9.73,0.00,-0.13,0.00,0.05,-0.46,0.02,0.02,-0.03,-0.02,0.21,3.00,3.00,3.00

0:00:00.218062,t,471,471,345,92,297,253,371,483,9.73,-1.12,0.23,-0.56,0.00,0.19,0.45,0.49,0.56,0.56,0.09,-0.10,-0.05,0.00,1.00,3.00

0:00:00.221062,s,30,30,30,30,30,30,31,30,-1.14,-0.08,-9.73,0.00,-0.19,0.00,0.05,-0.46,0.02,0.02,-0.03,0.05,0.17,3.00,3.00,3.00

0:00:00.224062,t,472,470,346,91,298,252,371,483,9.73,-1.12,0.23,-0.25,-0.06,0.25,0.45,0.49,0.56,0.56,0.11,-0.07,-0.08,0.00,1.00,3.00

0:00:00.227063,s,29,27,26,26,26,25,26,25,-1.14,-0.08,-9.73,0.00,-0.13,0.00,0.05,-0.46,0.02,0.02,0.07,0.00,0.19,3.00,3.00,3.00

0:00:00.229064,t,471,469,344,90,298,251,370,479,9.73,-1.12,0.23,-0.25,-0.06,0.06,0.45,0.49,0.56,0.56,0.10,-0.05,-0.07,0.00,1.00,3.00

0:00:00.232064,s,30,29,28,26,26,25,26,26,-1.14,-0.08,-9.73,0.00,0.00,0.00,0.05,-0.46,0.02,0.02,0.13,-0.01,0.17,3.00,3.00,3.00

0:00:00.235060,t,470,468,344,90,298,251,369,478,9.73,-1.12,0.23,-0.50,0.25,0.00,0.45,0.49,0.56,0.56,0.02,-0.04,-0.03,0.00,1.00,3.00

0:00:00.237072,s,29,30,29,27,27,26,26,25,-1.14,-0.08,-9.73,0.00,0.00,0.00,0.05,-0.46,0.02,0.02,0.16,0.01,0.19,3.00,3.00,3.00

0:00:00.240068,t,470,468,345,91,298,252,370,479,9.73,-1.12,0.22,-0.94,0.06,0.25,0.45,0.49,0.56,0.56,0.02,-0.03,-0.04,0.00,1.00,3.00

0:00:00.243067,s,30,29,28,27,26,26,27,26,-1.14,-0.08,-9.73,-0.06,0.00,0.00,0.05,-0.46,0.02,0.02,0.13,-0.03,0.20,3.00,3.00,3.00

0:00:00.245067,t,470,469,345,90,298,251,369,476,9.73,-1.12,0.22,-1.00,0.19,0.13,0.45,0.49,0.56,0.56,0.03,-0.01,-0.05,0.00,1.00,3.00

0:00:00.248068,s,30,28,28,27,26,26,27,26,-1.14,-0.08,-9.73,-0.13,0.25,0.00,0.05,-0.46,0.02,0.02,0.03,0.04,0.19,3.00,3.00,3.00

0:00:00.250068,t,472,472,345,90,299,252,369,478,9.73,-1.12,0.22,-0.44,0.13,0.00,0.45,0.49,0.56,0.56,0.04,-0.11,-0.04,0.00,1.00,3.00

0:00:00.253069,s,30,28,28,26,26,26,26,26,-1.14,-0.08,-9.73,0.00,-0.06,0.00,0.05,-0.46,0.02,0.02,0.03,0.05,0.20,3.00,3.00,3.00

0:00:00.256071,t,469,468,344,90,298,251,369,478,9.73,-1.12,0.22,-0.75,0.44,0.13,0.45,0.49,0.56,0.56,0.03,-0.10,-0.06,0.00,1.00,3.00

0:00:00.259070,s,30,28,27,26,26,26,26,26,-1.14,-0.08,-9.73,-0.06,0.00,0.00,0.05,-0.46,0.02,0.02,0.02,0.02,0.21,3.00,3.00,3.00

0:00:00.263099,t,471,470,346,90,299,252,369,478,9.73,-1.12,0.22,0.13,0.44,0.00,0.45,0.49,0.56,0.56,0.03,-0.02,-0.07,0.00,1.00,3.00

0:00:00.266100,s,30,28,27,27,26,25,25,26,-1.14,-0.08,-9.73,0.00,-0.06,0.00,0.05,-0.46,0.02,0.02,0.03,0.04,0.17,3.00,3.00,3.00

0:00:00.269101,t,468,467,344,90,298,251,368,479,9.73,-1.12,0.22,-0.25,0.06,0.00,0.45,0.49,0.56,0.56,0.03,-0.02,-0.04,0.00,1.00,3.00

0:00:00.271101,s,30,29,28,27,26,25,26,26,-1.14,-0.08,-9.73,0.00,0.00,0.00,0.05,-0.46,0.02,0.02,0.05,0.04,0.19,3.00,3.00,3.00

0:00:00.274102,t,470,468,345,90,299,252,370,481,9.73,-1.12,0.22,0.00,0.13,0.00,0.45,0.49,0.56,0.56,0.04,-0.04,-0.02,0.00,1.00,3.00

0:00:00.277103,s,30,29,27,26,26,25,26,25,-1.14,-0.08,-9.73,0.00,0.06,0.00,0.05,-0.46,0.02,0.02,0.06,-0.01,0.14,3.00,3.00,3.00

0:00:00.279091,t,469,467,344,89,299,251,368,480,9.73,-1.12,0.22,-0.06,0.25,-0.19,0.45,0.49,0.56,0.56,0.03,-0.03,-0.03,0.00,1.00,3.00

0:00:00.282092,s,29,29,28,27,26,25,26,25,-1.14,-0.08,-9.73,-0.06,0.06,0.00,0.05,-0.46,0.02,0.02,0.07,-0.01,0.21,3.00,3.00,3.00

0:00:00.285103,t,472,471,346,90,300,252,370,481,9.73,-1.12,0.22,0.00,0.00,-0.37,0.45,0.49,0.56,0.56,0.07,-0.06,-0.06,0.00,1.00,3.00

0:00:00.288103,s,30,29,27,26,26,26,26,26,-1.14,-0.08,-9.73,0.00,0.19,0.00,0.05,-0.46,0.02,0.02,0.15,0.01,0.19,3.00,3.00,3.00

0:00:00.290104,t,470,469,344,90,299,251,369,481,9.73,-1.12,0.22,0.13,0.00,-0.06,0.45,0.49,0.56,0.56,0.06,-0.10,-0.06,0.00,1.00,3.00

0:00:00.293098,s,30,28,28,26,25,25,26,25,-1.14,-0.08,-9.73,0.00,0.06,0.00,0.05,-0.46,0.02,0.02,0.16,0.01,0.18,3.00,3.00,3.00

0:00:00.295105,t,471,471,346,90,300,252,370,482,9.73,-1.12,0.22,0.31,0.06,0.13,0.45,0.49,0.56,0.56,0.05,0.01,-0.05,0.00,1.00,3.00

0:00:00.298107,s,30,28,27,27,26,26,26,25,-1.14,-0.08,-9.73,0.00,-0.19,0.00,0.05,-0.46,0.02,0.02,0.10,0.01,0.19,3.00,3.00,3.00

0:00:00.301108,t,469,468,344,90,299,251,369,480,9.73,-1.12,0.22,0.50,0.31,0.00,0.45,0.49,0.56,0.56,0.04,-0.01,-0.04,0.00,1.00,3.00

0:00:00.303108,s,30,28,28,27,26,25,26,26,-1.14,-0.08,-9.73,0.00,0.00,-0.19,0.05,-0.46,0.02,0.02,0.02,0.07,0.17,3.00,3.00,3.00

0:00:00.307109,t,472,470,345,90,300,252,370,481,9.73,-1.12,0.22,-0.50,0.00,0.00,0.45,0.49,0.56,0.56,0.01,0.00,-0.04,0.00,1.00,3.00

0:00:00.310110,s,30,28,26,26,26,25,26,25,-1.14,-0.08,-9.73,0.00,-0.19,0.00,0.05,-0.46,0.02,0.02,0.01,0.05,0.20,3.00,3.00,3.00

0:00:00.313111,t,470,469,345,89,299,252,368,480,9.73,-1.12,0.22,-0.25,0.00,0.13,0.45,0.49,0.56,0.56,0.06,0.01,-0.06,0.00,1.00,3.00

0:00:00.316111,s,30,29,28,27,27,26,26,26,-1.14,-0.08,-9.73,0.00,-0.06,0.00,0.05,-0.46,0.02,0.02,-0.01,0.02,0.18,3.00,3.00,3.00

0:00:00.318112,t,470,469,344,90,299,251,369,479,9.73,-1.12,0.22,-0.56,0.00,0.00,0.45,0.49,0.56,0.56,0.05,-0.05,-0.06,0.00,1.00,3.00

0:00:00.321113,s,30,28,28,27,26,25,26,26,-1.14,-0.08,-9.73,0.00,0.00,0.06,0.05,-0.46,0.02,0.02,0.02,0.04,0.20,3.00,3.00,3.00

0:00:00.324113,t,470,470,344,90,299,251,369,480,9.73,-1.12,0.22,-0.56,0.19,-0.13,0.45,0.49,0.56,0.56,0.05,-0.03,-0.07,0.00,1.00,3.00

0:00:00.327114,s,30,29,28,27,26,26,26,26,-1.14,-0.08,-9.73,0.00,0.00,0.00,0.05,-0.46,0.02,0.02,0.13,0.01,0.19,3.00,3.00,3.00

0:00:00.330115,t,471,470,345,91,300,252,370,480,9.73,-1.12,0.22,-0.31,0.06,-0.06,0.45,0.49,0.56,0.56,0.06,-0.02,-0.04,0.00,1.00,3.00

0:00:00.332115,s,30,29,28,27,27,26,26,26,-1.14,-0.08,-9.73,0.00,-0.13,0.00,0.05,-0.46,0.02,0.02,0.16,0.01,0.18,3.00,3.00,3.00

0:00:00.335116,t,469,468,344,90,300,251,369,479,9.73,-1.12,0.22,-0.06,0.13,0.00,0.45,0.49,0.56,0.56,0.06,-0.04,-0.02,0.00,1.00,3.00

0:00:00.338116,s,30,28,28,27,26,25,26,26,-1.14,-0.08,-9.73,0.00,0.00,0.06,0.05,-0.46,0.02,0.02,0.13,0.04,0.20,3.00,3.00,3.00

0:00:00.340106,t,468,467,344,90,299,250,369,480,9.73,-1.12,0.22,-0.06,0.13,-0.13,0.45,0.49,0.56,0.56,0.04,-0.02,-0.05,0.00,1.00,3.00

0:00:00.343118,s,30,28,28,26,26,26,26,26,-1.14,-0.08,-9.73,0.00,0.00,0.00,0.05,-0.46,0.02,0.02,0.07,0.04,0.21,3.00,3.00,3.00

